cheese,milk,country,type,texture,rind,color,flavor,aroma,vegetarian,vegan
408,13,77,13,108,9,15,181,141,1,0
412,13,31,14,160,7,15,191,121,1,0
414,9,52,48,160,7,11,588,239,0,0
417,4,77,21,250,10,11,527,285,1,0
418,4,77,39,250,7,11,558,49,1,0
423,13,35,14,171,9,15,598,181,0,0
424,5,14,13,288,9,15,344,12,1,0
434,4,12,38,241,7,16,43,127,0,0
435,4,30,1,160,9,11,308,256,1,0
438,4,77,38,256,9,16,596,239,0,0
441,18,12,39,150,7,11,280,223,1,0
445,4,35,38,11,10,16,472,256,0,0
446,4,35,20,250,7,16,336,256,0,0
448,4,52,20,75,7,11,565,0,0,0
450,4,77,39,127,7,15,341,159,1,0
452,4,50,21,210,11,11,348,250,0,0
457,4,30,48,38,9,15,258,62,1,0
458,4,30,48,48,6,8,210,285,1,0
459,4,30,48,93,6,8,210,285,1,0
460,4,30,34,180,5,11,384,178,1,0
463,4,33,39,210,11,11,15,127,1,0
468,4,77,47,96,9,15,495,137,0,0
470,4,14,21,94,7,11,495,304,0,0
471,4,33,21,129,7,15,130,285,1,0
473,13,77,48,101,9,15,555,78,1,0
479,4,77,18,176,9,15,258,150,1,0
482,4,30,39,266,10,11,210,253,0,0
492,4,57,33,279,10,11,554,304,0,0
498,4,77,56,103,3,11,123,15,0,0
500,4,52,39,11,0,8,557,236,0,0
501,4,30,20,180,9,11,0,129,0,0
511,4,61,20,279,11,3,177,63,1,0
519,4,37,38,219,7,11,175,285,0,0
530,5,77,34,93,2,8,357,158,1,0
531,13,77,48,93,7,8,470,175,1,0
537,13,77,48,93,9,8,470,175,1,0
543,4,35,39,137,7,14,564,0,0,0
544,13,68,21,210,7,11,420,181,1,0
545,4,46,61,147,10,16,510,37,0,0
546,4,74,48,93,7,11,596,285,1,0
547,4,74,62,189,7,11,557,127,1,0
551,4,30,20,35,7,13,39,55,0,0
552,4,77,39,129,7,14,471,0,1,0
557,4,52,31,0,7,14,359,0,1,0
560,13,77,2,190,3,8,178,291,1,0
562,4,50,39,196,7,16,249,181,1,0
567,4,35,62,290,11,15,358,285,0,0
571,14,35,61,290,7,6,594,304,0,0
572,4,72,20,67,1,16,596,87,0,0
574,13,35,62,285,7,8,433,228,1,0
575,4,72,20,259,7,16,97,53,0,0
576,13,14,8,250,7,15,596,127,0,0
578,13,14,61,284,10,8,350,38,0,0
588,6,23,21,147,7,6,213,50,1,0
590,4,55,38,238,11,16,472,138,1,0
593,4,30,20,93,6,16,506,87,1,0
596,13,35,62,279,7,15,596,207,0,0
597,4,77,14,250,9,2,393,180,1,0
599,4,31,48,284,10,11,588,279,1,0
601,13,77,21,250,6,11,50,188,0,0
605,4,78,21,259,7,15,163,205,0,0
606,4,43,21,203,7,16,205,225,1,0
609,4,67,20,250,10,15,488,255,1,0
610,13,30,47,199,10,9,596,181,0,0
612,4,77,38,256,9,9,469,284,0,0
616,4,35,47,243,7,4,469,268,0,0
618,4,18,14,93,7,15,281,11,0,0
619,4,31,48,148,10,11,387,34,1,0
621,4,31,39,279,10,11,573,294,1,0
624,13,77,2,261,7,2,274,256,1,0
627,4,4,21,36,3,14,317,191,0,0
628,4,4,21,180,7,11,438,181,1,0
629,4,4,39,191,7,6,455,263,0,0
630,4,4,21,103,11,16,46,294,1,0
631,4,4,39,127,7,16,297,299,1,0
633,4,4,39,259,7,11,242,217,1,0
634,4,4,21,180,7,11,243,60,1,0
637,4,70,39,189,10,11,155,263,0,0
638,4,30,47,46,10,12,396,45,1,0
639,4,42,39,94,7,15,210,127,1,0
642,4,16,48,61,10,8,121,108,0,0
644,4,4,41,214,5,11,239,192,1,0
645,4,6,39,127,7,11,354,128,1,0
646,13,4,14,160,5,15,236,19,1,0
648,9,69,21,93,7,11,531,152,0,0
649,4,74,27,259,9,4,210,285,1,0
651,4,77,21,94,3,8,210,86,1,0
654,4,27,39,129,11,11,598,304,0,0
658,4,4,21,7,7,3,574,295,1,0
660,4,52,13,30,9,15,102,127,0,0
663,4,33,21,180,3,11,592,286,0,0
670,13,77,15,242,9,15,8,127,0,0
672,4,30,20,261,10,16,422,134,1,0
673,4,57,47,250,7,11,133,285,0,0
680,4,74,38,177,10,9,165,0,1,0
681,4,4,20,110,7,16,124,304,0,0
683,13,77,14,160,7,15,21,81,1,0
685,4,77,38,93,10,11,320,285,1,0
686,9,77,39,180,7,11,92,74,1,0
698,4,35,38,250,7,9,60,118,0,0
699,4,12,48,271,9,15,65,141,0,0
705,4,23,39,212,7,15,403,0,1,0
707,4,27,39,250,11,11,552,127,0,0
716,4,52,33,93,10,15,465,31,0,0
721,4,52,34,147,7,11,144,145,0,0
722,4,74,21,93,7,16,494,285,0,0
730,4,77,21,250,7,8,203,191,0,0
731,4,77,39,94,7,11,160,306,1,0
735,4,50,29,197,7,3,508,139,1,0
739,13,4,21,250,7,8,525,307,1,0
740,4,6,39,160,7,11,271,22,1,0
741,4,6,39,68,7,16,218,36,1,0
742,4,77,48,232,10,16,364,72,0,0
744,4,30,38,93,11,7,384,177,1,0
745,4,30,38,93,11,6,572,294,1,0
750,13,77,13,108,9,15,181,141,1,0
751,4,63,47,284,7,16,158,191,1,0
753,5,77,38,95,7,11,13,269,1,0
754,9,30,21,94,7,8,441,304,1,0
758,4,35,61,279,10,15,556,27,1,0
766,4,14,20,199,10,9,115,171,1,0
770,0,4,19,171,7,15,210,249,1,0
773,4,4,81,250,1,15,281,309,1,0
774,4,4,39,60,9,11,471,228,1,0
775,4,4,13,250,10,15,210,156,0,0
784,13,78,13,93,9,15,428,287,0,0
785,4,6,39,93,7,11,574,295,0,0
788,4,35,39,93,7,14,596,127,0,0
791,14,35,61,132,9,11,565,264,0,0
792,4,35,62,279,7,15,584,127,0,0
796,4,14,20,199,10,11,176,304,0,0
834,4,74,48,189,10,16,593,285,0,0
842,4,6,39,93,7,16,297,203,0,0
845,4,76,47,161,9,15,180,304,1,0
848,13,35,61,285,7,6,22,304,1,0
849,4,35,38,285,7,8,212,0,0,0
851,4,77,38,67,7,11,455,128,1,0
860,13,35,62,259,7,15,586,188,1,0
867,4,77,38,147,7,16,463,185,0,0
868,4,72,20,279,7,15,596,33,0,0
870,4,77,39,94,7,11,574,122,1,0
871,4,30,20,71,3,11,24,58,0,0
877,4,77,21,251,11,16,117,288,0,0
882,5,35,62,279,7,15,404,207,1,0
883,4,4,58,160,10,15,565,87,0,0
885,4,74,28,94,2,16,562,127,0,0
888,4,35,47,160,10,11,30,304,0,0
889,4,9,39,180,10,4,359,254,0,0
892,4,77,21,104,7,16,498,193,1,0
895,4,71,47,93,7,16,547,33,0,0
899,4,35,39,280,7,14,506,0,0,0
906,4,9,14,93,7,15,81,152,0,0
910,4,77,21,127,7,11,89,171,1,0
914,4,52,39,250,7,11,598,268,0,0
919,13,77,13,166,9,15,224,0,1,0
921,13,77,13,108,9,15,315,0,1,0
922,5,18,40,94,6,11,381,285,0,0
923,4,4,29,106,7,11,26,192,0,0
926,4,71,47,93,7,16,547,33,0,0
929,4,33,39,250,6,7,405,207,1,0
941,4,35,38,83,10,13,354,145,0,0
942,4,77,21,89,7,11,233,28,1,0
944,4,27,38,292,11,16,501,181,0,0
952,4,72,20,233,7,7,0,207,0,0
961,4,77,20,93,9,11,119,152,1,0
962,4,77,20,93,7,5,141,259,1,0
963,13,77,34,93,9,11,460,235,0,0
965,9,77,39,93,7,11,506,106,0,0
966,4,77,20,250,9,15,349,94,1,0
967,4,77,21,171,7,11,417,215,0,0
968,4,77,20,93,7,11,348,169,0,0
969,4,77,38,93,7,11,267,258,0,0
973,4,77,34,250,7,11,575,297,1,0
974,4,77,21,93,7,16,120,224,1,0
975,4,77,21,94,9,11,266,285,0,0
976,4,77,39,112,7,11,218,170,0,0
977,4,77,21,93,7,11,98,169,1,0
978,4,77,21,255,7,11,347,169,0,0
980,4,72,21,229,7,16,77,36,0,0
985,4,74,27,93,8,11,298,256,0,0
987,4,77,21,234,7,11,550,117,1,0
988,5,77,39,213,7,11,88,268,1,0
994,4,32,20,191,7,16,375,288,0,0
1000,4,77,14,264,9,8,391,130,1,0
1001,4,77,39,93,7,15,567,127,0,0
1004,4,31,39,93,7,15,426,127,1,0
1005,4,31,39,93,7,15,234,179,1,0
1008,4,77,21,250,9,11,592,285,1,0
1013,4,4,0,93,10,15,449,232,1,0
1015,4,74,38,94,10,16,339,135,1,0
1017,4,74,38,160,7,9,210,285,1,0
1018,4,77,21,160,7,16,235,127,0,0
1025,4,19,61,93,8,16,287,246,1,0
1028,4,74,20,94,7,11,149,181,0,0
1029,1,39,33,222,7,16,542,294,0,0
1033,4,77,39,199,7,11,507,237,1,0
1037,4,74,26,94,10,11,312,217,0,0
1043,4,74,20,1,9,9,488,230,0,0
1047,4,67,20,78,11,11,339,59,0,0
1048,4,30,61,19,10,16,372,279,0,0
1062,4,31,21,160,6,16,443,57,1,0
1069,4,77,39,180,7,11,291,89,1,0
1090,1,39,33,222,10,14,542,145,1,0
5,4,35,50,116,10,15,34,44,0,0
8,4,35,50,284,10,11,474,117,0,0
10,18,26,21,250,7,11,53,145,0,0
16,4,71,52,93,7,0,541,304,1,0
21,1,77,2,261,7,0,245,285,1,0
35,4,74,47,156,7,0,415,301,0,0
37,4,74,78,171,10,9,92,96,0,0
55,4,77,49,180,10,15,598,252,0,0
58,4,77,48,154,10,14,485,96,1,0
60,4,35,50,279,10,15,157,164,0,0
62,18,35,1,101,7,6,469,132,0,0
64,4,48,73,176,9,11,283,309,1,0
74,14,44,32,180,7,15,552,304,0,0
82,13,77,48,101,9,15,594,310,1,0
84,4,50,54,57,10,16,11,108,1,0
89,4,71,63,93,6,8,596,147,0,0
91,4,77,52,94,7,14,400,111,1,0
93,4,52,47,160,7,15,506,127,0,0
99,4,34,52,93,6,11,540,127,0,0
119,4,35,61,236,7,15,530,228,0,0
120,4,77,40,39,7,16,453,47,0,0
123,4,67,47,93,7,0,359,304,1,0
124,4,30,62,160,8,11,146,195,1,0
125,4,30,62,160,9,8,472,101,0,0
131,18,31,62,231,6,15,143,38,1,0
132,18,52,52,93,7,16,596,158,0,0
134,4,40,47,85,7,11,543,294,0,0
135,18,35,47,235,10,15,149,64,1,0
139,4,33,63,160,7,4,210,75,0,0
142,4,40,68,171,6,4,292,33,0,0
144,4,77,40,114,7,4,126,202,0,0
149,4,30,68,160,9,11,210,279,0,0
157,18,30,68,279,7,15,421,127,1,0
165,18,77,49,106,6,11,69,227,1,0
173,6,73,54,259,9,10,23,274,1,0
176,6,65,48,133,7,8,139,181,0,0
179,4,77,35,35,9,8,155,228,1,0
180,18,77,42,250,7,8,378,278,1,0
188,4,74,68,176,8,9,306,285,1,0
192,4,14,49,101,7,11,285,252,0,0
196,4,35,48,160,7,8,109,304,0,0
197,4,35,68,160,7,0,548,87,0,0
193,4,35,52,93,1,15,477,304,1,0
194,4,14,49,94,7,4,482,114,0,0
198,4,14,68,170,6,4,253,279,0,0
201,4,52,68,171,11,15,279,172,0,0
202,9,52,68,285,5,8,302,287,0,0
203,19,52,35,94,7,4,35,145,0,0
204,17,74,61,175,6,0,256,248,1,1
206,4,27,61,160,10,0,81,299,1,0
207,6,56,52,93,7,0,541,303,0,0
208,4,74,47,93,7,0,371,0,1,0
211,13,77,52,113,7,14,598,181,1,0
212,13,50,48,94,7,8,163,217,1,0
213,4,4,52,113,7,0,536,303,0,0
214,4,30,24,62,3,0,44,285,1,0
215,4,77,52,93,7,15,594,285,1,0
216,4,67,47,285,7,1,596,250,1,0
217,13,50,14,160,7,15,390,304,1,0
219,8,52,54,93,9,15,142,250,0,0
221,18,77,2,100,9,15,515,309,0,0
225,4,68,62,66,7,16,441,191,0,0
226,4,40,61,171,7,4,230,97,0,0
227,13,77,61,140,6,8,190,311,1,0
230,18,77,48,135,10,4,334,302,1,0
234,13,77,48,101,7,15,209,78,1,0
235,4,35,13,160,10,4,588,302,1,0
238,4,35,73,110,9,15,122,155,1,0
246,18,18,40,285,7,11,562,0,0,0
248,18,35,62,279,7,11,596,191,0,0
250,4,35,68,93,7,15,210,241,0,0
251,4,50,48,93,10,11,506,256,1,0
264,4,52,61,67,7,8,357,39,0,0
266,4,35,48,176,10,5,164,30,1,0
268,18,63,71,105,7,15,204,235,0,0
271,17,74,33,159,6,0,227,88,1,1
272,14,35,19,106,9,15,479,309,0,0
277,5,28,60,219,7,2,179,123,0,0
278,4,9,62,279,10,11,536,304,0,0
279,4,77,48,93,7,4,299,304,1,0
280,18,66,62,257,7,15,546,310,0,0
284,13,35,61,93,7,4,441,75,0,0
286,0,52,61,171,10,15,302,49,1,0
291,4,31,48,177,10,4,210,5,1,0
295,4,77,42,94,7,11,520,127,1,0
296,4,77,52,93,7,8,326,285,1,0
297,4,77,52,180,7,11,516,285,1,0
303,4,67,61,160,7,15,93,54,1,0
305,4,70,40,127,7,11,45,304,0,0
307,18,52,48,278,7,8,441,309,0,0
308,9,52,34,199,6,8,501,304,1,0
310,4,52,61,67,7,14,67,41,0,0
315,18,52,61,93,5,15,64,11,0,0
323,14,35,48,93,7,11,592,285,0,0
1099,4,40,80,93,7,8,328,198,1,0
324,4,40,52,93,11,11,568,0,1,0
325,4,67,39,93,3,4,562,304,1,0
331,19,52,39,238,7,8,590,304,0,0
336,4,35,61,77,2,15,596,181,0,0
339,13,18,41,83,10,11,439,218,1,0
342,13,52,62,171,7,11,468,299,0,0
341,13,30,47,160,10,8,241,213,1,0
345,19,52,61,272,7,14,408,11,0,0
346,13,18,68,171,7,11,304,181,0,0
348,13,18,61,160,7,15,594,181,0,0
351,13,14,61,93,9,15,254,181,0,0
361,4,14,68,93,2,8,441,141,1,0
362,4,77,49,109,9,8,210,75,1,0
368,4,50,52,93,7,0,598,309,1,0
370,6,52,38,194,10,8,566,304,0,0
375,18,36,80,290,7,14,506,285,0,0
376,4,35,61,279,7,11,584,47,0,0
377,4,12,73,176,7,15,248,145,0,0
380,4,77,42,113,7,11,146,127,1,0
383,13,77,42,67,2,8,210,236,1,0
392,4,40,80,93,7,4,385,216,1,0
393,4,40,80,93,7,4,290,299,1,0
391,4,40,80,93,7,4,264,141,1,0
394,4,35,80,152,10,4,210,198,0,0
396,13,35,47,250,10,11,48,307,0,0
405,4,4,0,180,6,11,491,263,1,0
406,18,13,71,285,6,7,495,217,0,0
409,13,77,48,102,9,15,388,32,1,0
410,13,35,64,160,10,11,363,7,0,0
413,13,77,48,93,11,4,300,228,1,0
416,4,40,49,118,6,4,127,228,0,0
420,4,31,49,94,7,11,197,304,0,0
425,2,52,48,93,7,4,218,263,0,0
429,13,77,48,119,6,4,306,78,1,0
437,13,35,80,93,5,11,546,145,0,0
439,4,77,69,166,9,15,377,304,0,0
442,4,31,39,19,7,4,116,292,0,0
449,4,52,48,161,7,8,412,282,0,0
455,4,30,46,93,7,11,336,285,1,0
461,4,33,63,93,7,4,156,296,1,0
462,4,30,67,160,10,15,553,135,1,0
465,4,33,33,160,7,15,597,239,0,0
469,6,18,80,171,2,15,304,256,0,0
477,4,35,67,145,10,9,382,304,0,0
481,4,61,47,93,7,4,210,0,0,0
485,9,77,49,93,7,4,380,97,0,0
488,5,77,62,160,6,4,270,264,0,0
478,4,40,47,148,7,11,286,0,1,0
489,19,52,14,33,9,15,104,151,1,0
490,4,18,42,101,7,11,289,304,1,0
493,13,50,48,292,10,15,359,95,1,0
499,18,50,49,12,7,11,19,290,1,0
502,4,40,68,160,6,8,247,268,1,0
503,9,70,61,160,7,16,553,140,0,0
504,1,52,48,90,2,8,582,128,0,0
506,4,77,62,176,2,15,563,304,1,0
508,4,30,38,93,7,4,81,127,1,0
513,4,35,61,250,5,15,598,191,0,0
515,4,14,62,179,10,4,155,165,0,0
521,4,70,52,128,3,11,590,66,0,0
523,18,70,74,152,7,11,210,280,1,0
526,18,70,61,176,10,14,63,272,1,0
538,5,77,42,127,7,4,301,109,0,0
549,18,67,49,10,7,11,423,68,1,0
556,18,35,62,9,7,14,33,228,0,0
558,4,52,62,93,7,15,54,307,0,0
561,13,77,8,116,9,4,250,233,1,0
564,4,35,48,176,10,15,164,30,1,0
566,13,35,61,114,6,4,410,190,0,0
589,4,77,61,120,9,11,295,133,1,0
591,4,11,58,203,10,14,398,302,0,0
595,4,77,52,93,7,14,238,290,0,0
603,13,77,48,40,7,8,81,49,0,0
604,4,35,62,93,10,15,359,284,0,0
608,4,52,62,67,7,8,380,127,1,0
613,18,74,39,254,7,6,73,205,1,0
615,4,52,48,42,7,2,217,195,1,0
622,4,31,21,93,7,3,266,127,1,0
626,13,77,48,93,7,8,441,161,1,0
632,4,4,21,22,2,3,246,268,1,0
636,4,71,3,237,6,8,373,228,0,0
640,13,70,38,19,7,10,0,243,0,0
652,4,9,61,171,7,11,323,256,0,0
653,4,52,47,250,7,4,62,304,0,0
656,18,77,48,225,5,15,440,268,1,0
662,9,35,44,58,6,4,37,256,0,0
664,4,31,48,276,5,4,259,304,1,0
665,4,77,42,189,9,4,430,284,1,0
675,18,4,76,93,7,0,448,132,0,0
687,13,77,52,220,7,11,526,181,1,0
690,18,73,21,208,9,11,531,304,1,0
691,4,4,68,93,6,0,112,285,0,0
694,4,4,61,147,2,15,596,205,1,0
695,4,40,58,250,2,15,598,304,0,0
700,13,50,62,93,7,15,54,108,1,0
704,13,35,61,93,7,15,210,117,0,0
706,14,77,48,289,8,8,329,181,1,0
709,4,10,77,50,10,6,457,284,0,0
710,4,6,38,160,10,11,588,304,0,0
712,4,35,48,93,7,8,266,113,0,0
715,4,40,68,160,7,15,210,66,0,0
720,13,70,47,279,7,11,243,190,0,0
723,4,40,68,171,11,8,247,132,0,0
724,4,77,49,93,7,11,273,287,1,0
727,16,71,13,160,9,11,578,268,0,0
728,4,35,48,93,2,8,180,160,0,0
736,13,35,62,171,7,8,434,250,0,0
755,4,77,73,279,11,11,441,284,0,0
756,4,52,34,264,7,8,361,207,1,0
757,4,77,57,160,7,11,469,228,0,0
759,4,77,42,180,7,11,539,304,0,0
761,4,35,48,136,10,8,444,0,0,0
763,14,44,81,110,7,15,441,141,1,0
782,4,52,75,146,7,8,59,285,0,0
783,4,20,48,273,7,4,268,250,1,0
789,4,9,59,93,7,5,441,309,0,0
793,13,35,62,160,7,8,441,127,0,0
835,4,74,48,219,11,11,583,304,1,0
838,4,41,68,93,7,11,578,285,0,0
841,4,77,47,160,7,4,419,23,0,0
844,4,74,47,93,7,6,281,14,1,0
862,4,70,52,93,7,0,589,33,1,0
863,4,14,52,160,10,4,481,285,0,0
865,18,35,62,104,6,8,49,42,1,0
866,4,77,62,94,9,2,588,16,0,0
879,4,77,62,94,7,11,83,113,1,0
880,4,77,49,19,7,15,261,148,1,0
881,4,77,39,19,11,8,93,49,1,0
884,4,4,41,214,10,4,420,207,1,0
887,4,63,47,160,10,9,586,294,0,0
890,13,35,61,94,7,8,54,181,0,0
908,4,77,73,167,8,6,144,152,0,0
912,13,77,48,75,10,11,210,311,0,0
924,13,35,62,180,7,8,133,279,0,0
930,4,35,68,166,8,0,340,304,0,0
933,4,35,62,93,8,15,210,256,1,0
934,4,35,62,160,9,15,471,155,0,0
936,18,77,48,250,7,11,188,193,1,0
937,13,35,48,141,10,15,359,3,0,0
938,4,77,49,94,9,8,211,109,0,0
939,4,77,49,94,7,8,214,109,0,0
940,4,77,49,93,7,8,293,110,1,0
946,4,77,54,279,10,15,29,87,0,0
947,4,70,47,19,7,4,81,298,0,0
950,13,70,74,161,10,15,464,0,0,0
957,4,77,48,93,7,11,269,24,1,0
971,4,77,48,93,7,4,392,98,1,0
972,4,77,36,171,7,8,466,289,1,0
984,4,77,54,51,10,14,186,284,0,0
986,4,77,48,243,7,4,134,163,1,0
990,4,42,21,180,2,4,0,218,1,0
995,18,65,47,250,2,8,595,279,0,0
997,18,77,36,93,9,8,18,291,1,0
1006,5,31,39,64,7,4,582,127,1,0
1010,18,77,14,134,9,15,189,14,1,0
1022,13,30,61,266,7,11,210,75,1,0
1030,4,14,34,127,2,5,257,101,1,0
1031,13,77,48,67,7,15,561,24,1,0
1032,4,77,42,225,7,11,169,244,1,0
1035,13,77,67,63,6,4,185,304,0,0
1036,4,33,62,160,7,15,441,134,1,0
1039,15,21,62,93,7,15,528,284,1,0
1041,4,35,62,160,10,16,210,285,0,0
1045,4,52,61,67,7,8,327,0,0,0
1046,19,52,14,174,9,15,41,273,0,0
1052,4,31,62,139,6,4,596,66,0,0
1054,4,40,62,93,7,11,588,238,1,0
1061,13,50,61,93,7,15,180,194,0,0
1063,13,31,61,228,6,11,170,251,0,0
1066,4,77,48,180,7,15,598,285,1,0
1068,4,77,48,147,7,11,164,100,1,0
1071,4,77,52,93,7,4,318,268,1,0
1072,4,77,48,93,7,11,228,304,0,0
1076,4,77,48,180,7,15,359,268,1,0
1077,4,77,48,94,7,15,303,270,1,0
1079,4,40,2,40,10,6,116,73,0,0
1080,4,31,49,93,6,8,84,285,0,0
1081,13,77,48,215,7,15,389,186,1,0
1082,4,30,24,106,7,15,589,294,0,0
1083,4,74,48,160,10,15,89,279,1,0
1086,4,67,47,93,7,11,297,33,1,0
1087,4,18,41,70,10,14,595,304,1,0
1091,4,14,62,93,9,15,225,212,1,0
1092,13,77,39,72,10,4,86,284,1,0
1094,18,30,61,93,7,15,562,214,1,0
1095,4,71,43,179,9,11,0,197,0,0
585,13,70,48,290,2,15,425,218,0,0
540,13,14,67,171,2,15,2,82,0,0
140,4,30,61,93,2,8,194,21,1,0
602,18,30,62,168,6,15,469,291,1,0
427,4,77,80,171,2,8,9,102,0,0
164,4,77,67,280,2,11,132,250,1,0
701,4,67,61,25,10,9,360,48,1,0
440,4,77,66,171,10,15,4,52,1,0
522,13,14,48,219,1,8,552,228,0,0
676,13,4,14,171,1,15,294,78,1,0
573,18,35,62,93,7,11,336,191,0,0
592,13,77,59,113,6,15,192,187,0,0
925,18,35,62,160,9,11,381,181,0,0
752,4,77,61,127,2,11,113,197,1,0
907,4,77,62,172,2,11,90,285,1,0
285,8,77,67,19,2,11,5,285,1,0
13,1,52,38,250,7,11,596,11,0,0
991,13,35,61,250,1,11,598,222,0,0
